query1,query2,k,result
calm,maze,9,1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/9 11-15/11.txt 11-15/13.txt 11-15/14.txt
clothes,melt,8,1-10/1-5/5.txt 1-10/6-10/8 11-15/11.txt 11-15/13.txt 11-15/14.txt 11-15/15.txt 16 17
fire,mercy,11,1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/7 1-10/6-10/8 1-10/6-10/9 11-15/13.txt 11-15/14.txt 16 17
man,mermaid,15,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/6-10/7 1-10/6-10/8 1-10/6-10/9 11-15/11.txt 11-15/13.txt 11-15/14.txt 11-15/15.txt 17
woman,miss,5,1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/8 11-15/13.txt 16
maya,nerves,13,16
past,nightmare,15,1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/8 11-15/12.txt 11-15/13.txt 11-15/14.txt 11-15/15.txt 16 17 18
sense,nobody,10,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/6-10/6 1-10/6-10/8 1-10/6-10/9 11-15/12.txt 11-15/13.txt 11-15/14.txt
thoughts,normal,13,1-10/1-5/1.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/7 11-15/11.txt 11-15/12.txt 11-15/13.txt 11-15/14.txt 17 18
within,nowhere,14,1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/9 11-15/12.txt 11-15/13.txt 11-15/14.txt 11-15/15.txt 16 17
without,ocean,14,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/7 1-10/6-10/8 1-10/6-10/9 11-15/14.txt 16 17
yourself,palace,13,1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/7 1-10/6-10/8 1-10/6-10/9 11-15/11.txt 11-15/13.txt 11-15/14.txt 18
above,perfect,9,1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/6-10/9 11-15/11.txt 11-15/12.txt 11-15/13.txt 16 18
alone,play,7,1-10/1-5/5.txt 1-10/6-10/9 11-15/11.txt 11-15/13.txt 11-15/14.txt 11-15/15.txt 16
feel,question,11,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/8 11-15/12.txt 11-15/14.txt 18
home,reality,7,1-10/1-5/2.txt 1-10/6-10/6 1-10/6-10/7 1-10/6-10/8 1-10/6-10/9 11-15/12.txt 18
please,sacred,5,1-10/1-5/2.txt 1-10/6-10/10 11-15/11.txt 11-15/13.txt 18
red,shadow,6,1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/8 11-15/11.txt 11-15/15.txt 17
smile,shape,7,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/4.txt 1-10/6-10/8 11-15/12.txt 11-15/13.txt 18
tears,shawl,11,1-10/1-5/1.txt 1-10/1-5/4.txt 1-10/1-5/5.txt 1-10/6-10/9 11-15/11.txt 11-15/12.txt 11-15/13.txt 11-15/15.txt 16 17 18
water,sign,10,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/7 1-10/6-10/8 11-15/13.txt 16 17 18
shelter,sight,10,1-10/6-10/8 11-15/11.txt 17
waterfall,sky,7,1-10/1-5/2.txt 1-10/6-10/9
weeping,snow,13,1-10/1-5/3.txt 1-10/1-5/4.txt 11-15/13.txt 11-15/14.txt
advice,somewhere,13,1-10/6-10/10 11-15/12.txt 11-15/14.txt
aflame,sorrow,6,11-15/14.txt
ancient,tea,12,1-10/1-5/5.txt 1-10/6-10/9 16
witness,terror,15,1-10/1-5/2.txt 1-10/6-10/8 1-10/6-10/9
truth,thirst,14,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/3.txt 1-10/1-5/4.txt 1-10/6-10/6 1-10/6-10/9 11-15/14.txt 11-15/15.txt 17
trembling,thunder,12,1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/8 11-15/13.txt 16
action,wild,12,1-10/1-5/1.txt 1-10/1-5/2.txt 1-10/1-5/3.txt 11-15/11.txt 11-15/14.txt
balcony,violent,9,1-10/1-5/3.txt 1-10/1-5/5.txt 11-15/11.txt 11-15/14.txt 16
becoming,void,14,1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/6 11-15/11.txt 16
beyond,gentle,7,1-10/1-5/5.txt 1-10/6-10/10 1-10/6-10/6 1-10/6-10/9 11-15/12.txt
consciousness,binary,15,1-10/1-5/1.txt 1-10/1-5/4.txt 1-10/6-10/10 1-10/6-10/9 11-15/14.txt
constant,zoo,13,1-10/1-5/1.txt 11-15/14.txt 16
curse,biology,12,1-10/1-5/3.txt 1-10/6-10/10 11-15/12.txt 11-15/14.txt 17
desire,complexity,7,1-10/1-5/5.txt 1-10/6-10/9 11-15/11.txt 11-15/14.txt 11-15/15.txt
habib,index,10,18
